fullName,rollNumber,dateOfBirth,sessionYear
Aiden Smith,R001,2004-06-15,2024-2025
Olivia Johnson,R002,2005-04-23,2024-2025
Ethan Williams,R003,2004-08-05,2024-2025
Sophia Brown,R004,2005-02-12,2024-2025
Liam Jones,R005,2004-11-30,2024-2025
Emma Davis,R006,2005-07-18,2024-2025
Noah Miller,R007,2004-09-25,2024-2025
Ava Wilson,R008,2005-01-07,2024-2025
Lucas Moore,R009,2004-12-14,2024-2025
Isabella Taylor,R010,2005-05-29,2024-2025
Mason Anderson,R011,2004-07-02,2024-2025
Mia Thomas,R012,2005-03-16,2024-2025
James Jackson,R013,2004-10-09,2024-2025
Charlotte White,R014,2005-06-21,2024-2025
Benjamin Harris,R015,2004-08-11,2024-2025
Amelia Martin,R016,2005-01-28,2024-2025
Elijah Thompson,R017,2004-11-05,2024-2025
Harper Garcia,R018,2005-04-09,2024-2025
Alexander Martinez,R019,2004-07-17,2024-2025
Evelyn Robinson,R020,2005-02-24,2024-2025
William Clark,R021,2004-09-30,2024-2025
Abigail Rodriguez,R022,2005-05-13,2024-2025
Michael Lewis,R023,2004-12-22,2024-2025
Emily Lee,R024,2005-03-07,2024-2025
Daniel Walker,R025,2004-08-19,2024-2025
Elizabeth Hall,R026,2005-01-04,2024-2025
Matthew Allen,R027,2004-10-27,2024-2025
Sofia Young,R028,2005-06-08,2024-2025
Henry King,R029,2004-07-11,2024-2025
Avery Wright,R030,2005-04-30,2024-2025
Joseph Scott,R031,2004-09-06,2024-2025
Scarlett Green,R032,2005-02-17,2024-2025
Samuel Adams,R033,2004-11-24,2024-2025
Victoria Baker,R034,2005-05-01,2024-2025
David Nelson,R035,2004-08-03,2024-2025
Penelope Carter,R036,2005-03-20,2024-2025
Gabriel Mitchell,R037,2004-12-07,2024-2025
Madison Perez,R038,2005-06-14,2024-2025
Carter Roberts,R039,2004-07-28,2024-2025
Grace Turner,R040,2005-01-15,2024-2025
Jackson Phillips,R041,2004-10-02,2024-2025
Zoey Campbell,R042,2005-04-17,2024-2025
John Parker,R043,2004-09-13,2024-2025
Chloe Evans,R044,2005-02-08,2024-2025
Owen Edwards,R045,2004-11-19,2024-2025
Lily Collins,R046,2005-05-24,2024-2025
Wyatt Stewart,R047,2004-08-26,2024-2025
Audrey Sanchez,R048,2005-01-31,2024-2025
Sebastian Morris,R049,2004-12-18,2024-2025
Layla Rogers,R050,2005-06-05,2024-2025
Nathan Reed,R051,2004-07-21,2024-2025
Nora Cook,R052,2005-03-12,2024-2025
Caleb Morgan,R053,2004-10-15,2024-2025
Hannah Bell,R054,2005-04-26,2024-2025
Ryan Murphy,R055,2004-09-01,2024-2025
Stella Bailey,R056,2005-02-03,2024-2025
Zachary Rivera,R057,2004-11-10,2024-2025
Leah Cooper,R058,2005-05-19,2024-2025
Christian Richardson,R059,2004-08-07,2024-2025
Skylar Cox,R060,2005-01-22,2024-2025
Joshua Howard,R061,2004-12-11,2024-2025
Paisley Ward,R062,2005-06-28,2024-2025
Andrew Torres,R063,2004-07-14,2024-2025
Violet Peterson,R064,2005-03-29,2024-2025
Luke Gray,R065,2004-10-21,2024-2025
Bella Ramirez,R066,2005-04-05,2024-2025
Charles James,R067,2004-09-27,2024-2025
Sadie Watson,R068,2005-02-19,2024-2025
Hudson Brooks,R069,2004-11-03,2024-2025
Julia Kelly,R070,2005-05-27,2024-2025
Thomas Sanders,R071,2004-08-14,2024-2025
Claire Price,R072,2005-01-09,2024-2025
Asher Bennett,R073,2004-12-25,2024-2025
Isabelle Wood,R074,2005-06-11,2024-2025
Carson Barnes,R075,2004-07-23,2024-2025
